#YY  MM DD hh mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr  mo dy hr mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2019 05 06 22 36,360,2.6,3.1,MM,MM,MM,MM,1009.3,23.7,25.2,MM,MM,MM,MM
2019 05 06 22 42,20,3.1,3.6,MM,MM,MM,MM,1009.3,23.5,25.3,MM,MM,MM,MM
2019 05 06 22 48,30,2.6,4.1,MM,MM,MM,MM,1009.2,23.4,25.3,MM,MM,MM,MM
2019 05 06 22 54,20,3.1,4.1,MM,MM,MM,MM,1009.2,23.5,25.3,MM,MM,MM,MM
2019 05 06 23 00,20,3.6,4.6,MM,MM,MM,MM,1009.2,23.5,25.4,MM,MM,0,MM
2019 05 06 23 06,10,3.1,4.1,MM,MM,MM,MM,1009.2,23.7,25.4,MM,MM,MM,MM
2019 05 06 23 12,20,3.1,4.6,MM,MM,MM,MM,1009.2,23.6,25.4,MM,MM,MM,MM
2019 05 06 23 18,360,2.6,4.1,MM,MM,MM,MM,1009.2,23.7,25.4,MM,MM,MM,MM
2019 05 06 23 24,10,3.1,3.6,MM,MM,MM,MM,1009.1,23.7,25.4,MM,MM,MM,MM
2019 05 06 23 30,20,2.6,3.6,MM,MM,MM,MM,1009.1,24,25.4,MM,MM,MM,MM
2019 05 06 23 36,20,3.6,4.1,MM,MM,MM,MM,1009.1,23.5,25.5,MM,MM,MM,MM
2019 05 06 23 42,350,2.6,4.1,MM,MM,MM,MM,1009.1,23.6,25.5,MM,MM,MM,MM
2019 05 06 23 48,20,2.6,4.6,MM,MM,MM,MM,1009,23.7,25.5,MM,MM,MM,MM
2019 05 06 23 54,20,3.1,4.1,MM,MM,MM,MM,1009,23.5,25.5,MM,MM,MM,MM
2019 05 07 00 00,20,3.6,4.1,MM,MM,MM,MM,1009,23.5,25.5,MM,MM,-0.4,MM
2019 05 07 00 06,20,3.1,4.1,MM,MM,MM,MM,1009,23.4,25.5,MM,MM,MM,MM
2019 05 07 00 12,20,3.6,4.6,MM,MM,MM,MM,1008.9,23.4,25.5,MM,MM,MM,MM
2019 05 07 00 18,10,3.6,4.1,MM,MM,MM,MM,1008.9,23.4,25.5,MM,MM,MM,MM
2019 05 07 00 24,10,3.1,4.1,MM,MM,MM,MM,1008.9,23.5,25.5,MM,MM,MM,MM
2019 05 07 00 30,20,3.1,5.1,MM,MM,MM,MM,1008.9,23.4,25.5,MM,MM,MM,MM
2019 05 07 00 36,10,2.6,3.6,MM,MM,MM,MM,1008.9,23.4,25.5,MM,MM,MM,MM
2019 05 07 00 42,350,3.1,4.1,MM,MM,MM,MM,1008.8,23.5,25.5,MM,MM,MM,MM
2019 05 07 00 48,360,2.6,4.1,MM,MM,MM,MM,1008.8,23.4,25.5,MM,MM,MM,MM
2019 05 07 00 54,350,2.6,4.1,MM,MM,MM,MM,1008.7,23.6,25.5,MM,MM,MM,MM
2019 05 07 01 00,360,2.6,3.6,MM,MM,MM,MM,1008.7,23.4,25.5,MM,MM,-0.7,MM
2019 05 07 01 06,350,3.1,4.1,MM,MM,MM,MM,1008.6,23.5,25.5,MM,MM,MM,MM
2019 05 07 01 12,350,3.1,3.6,MM,MM,MM,MM,1008.5,23.6,25.5,MM,MM,MM,MM
2019 05 07 01 18,360,2.1,3.6,MM,MM,MM,MM,1008.4,23.5,25.5,MM,MM,MM,MM
2019 05 07 01 24,340,2.6,3.6,MM,MM,MM,MM,1008.3,23.4,25.5,MM,MM,MM,MM
2019 05 07 01 30,320,2.6,3.6,MM,MM,MM,MM,1008.3,23.6,25.5,MM,MM,MM,MM
2019 05 07 01 36,330,3.1,3.1,MM,MM,MM,MM,1008.3,23.5,25.5,MM,MM,MM,MM
2019 05 07 01 42,300,3.1,4.1,MM,MM,MM,MM,1008.2,23.4,25.5,MM,MM,MM,MM
2019 05 07 01 48,300,2.6,4.1,MM,MM,MM,MM,1008.2,23.2,25.5,MM,MM,MM,MM
2019 05 07 01 54,310,2.6,3.6,MM,MM,MM,MM,1008.2,23,25.5,MM,MM,MM,MM
2019 05 07 02 00,310,2.6,3.1,MM,MM,MM,MM,1008,23.3,25.5,MM,MM,-1.2,MM
2019 05 07 02 06,310,2.6,3.1,MM,MM,MM,MM,1007.9,23.2,25.5,MM,MM,MM,MM
2019 05 07 02 12,290,1.5,2.6,MM,MM,MM,MM,1007.9,23.3,25.5,MM,MM,MM,MM
2019 05 07 02 18,310,1.5,2.6,MM,MM,MM,MM,1007.9,23.2,25.5,MM,MM,MM,MM
2019 05 07 02 24,320,1,2.1,MM,MM,MM,MM,1008,23.4,25.5,MM,MM,MM,MM
2019 05 07 02 30,MM,0,2.1,MM,MM,MM,MM,1007.9,23.3,25.5,MM,MM,MM,MM
2019 05 07 02 36,10,1,1.5,MM,MM,MM,MM,1007.9,23.5,25.5,MM,MM,MM,MM
2019 05 07 02 42,340,1,1.5,MM,MM,MM,MM,1008,23.6,25.5,MM,MM,MM,MM
2019 05 07 02 48,MM,0,1,MM,MM,MM,MM,1007.9,23.7,25.5,MM,MM,MM,MM
2019 05 07 02 54,20,1.5,1.5,MM,MM,MM,MM,1008,23.3,25.5,MM,MM,MM,MM
2019 05 07 03 00,40,0.5,1.5,MM,MM,MM,MM,1008,23.5,25.5,MM,MM,-1,MM
2019 05 07 03 06,40,1,1,MM,MM,MM,MM,1008.1,23.4,25.6,MM,MM,MM,MM
2019 05 07 03 12,10,1,2.1,MM,MM,MM,MM,1008.1,23.3,25.6,MM,MM,MM,MM
2019 05 07 03 18,10,1.5,2.1,MM,MM,MM,MM,1008.1,23.5,25.6,MM,MM,MM,MM
2019 05 07 03 24,20,2.1,2.6,MM,MM,MM,MM,1008.1,23.3,25.6,MM,MM,MM,MM
2019 05 07 03 30,350,1.5,2.1,MM,MM,MM,MM,1008.1,23.4,25.6,MM,MM,MM,MM
2019 05 07 03 36,360,2.6,3.1,MM,MM,MM,MM,1008.1,23.3,25.6,MM,MM,MM,MM
2019 05 07 03 42,10,2.1,2.6,MM,MM,MM,MM,1008.1,23.3,25.6,MM,MM,MM,MM
2019 05 07 03 48,20,2.1,2.6,MM,MM,MM,MM,1008.2,23.2,25.6,MM,MM,MM,MM
2019 05 07 03 54,20,1.5,2.6,MM,MM,MM,MM,1008.2,23.3,25.6,MM,MM,MM,MM
2019 05 07 04 00,350,1.5,3.1,MM,MM,MM,MM,1008.2,23.4,25.6,MM,MM,-0.5,MM
2019 05 07 04 06,10,2.1,2.6,MM,MM,MM,MM,1008.3,23.2,25.6,MM,MM,MM,MM
2019 05 07 04 12,350,2.1,2.6,MM,MM,MM,MM,1008.4,23.3,25.6,MM,MM,MM,MM
2019 05 07 04 18,20,2.1,3.1,MM,MM,MM,MM,1008.4,23.1,25.6,MM,MM,MM,MM
2019 05 07 04 24,360,1.5,2.6,MM,MM,MM,MM,1008.5,23.1,25.6,MM,MM,MM,MM
2019 05 07 04 30,330,1.5,2.1,MM,MM,MM,MM,1008.5,23.2,25.6,MM,MM,MM,MM
2019 05 07 04 36,350,1.5,2.1,MM,MM,MM,MM,1008.6,23.3,25.6,MM,MM,MM,MM
2019 05 07 04 42,350,2.1,2.6,MM,MM,MM,MM,1008.6,23.3,25.6,MM,MM,MM,MM
2019 05 07 04 48,350,2.1,2.6,MM,MM,MM,MM,1008.7,23.2,25.6,MM,MM,MM,MM
2019 05 07 04 54,340,2.1,2.6,MM,MM,MM,MM,1008.7,23.2,25.6,MM,MM,MM,MM
2019 05 07 05 00,350,1.5,2.6,MM,MM,MM,MM,1008.8,23.3,25.7,MM,MM,0.8,MM
2019 05 07 05 06,350,2.1,2.6,MM,MM,MM,MM,1008.9,23.1,25.7,MM,MM,MM,MM
2019 05 07 05 12,20,2.1,3.1,MM,MM,MM,MM,1008.9,23.2,25.7,MM,MM,MM,MM
2019 05 07 05 18,340,2.1,2.6,MM,MM,MM,MM,1009,23.2,25.7,MM,MM,MM,MM
2019 05 07 05 24,20,2.1,2.6,MM,MM,MM,MM,1009,23.2,25.7,MM,MM,MM,MM
2019 05 07 05 30,20,1.5,2.1,MM,MM,MM,MM,1009.1,23,25.7,MM,MM,MM,MM
2019 05 07 05 36,350,1.5,2.1,MM,MM,MM,MM,1009.2,23.1,25.7,MM,MM,MM,MM
2019 05 07 05 42,340,1,2.1,MM,MM,MM,MM,1009.3,23.1,25.7,MM,MM,MM,MM
2019 05 07 05 48,330,1.5,2.1,MM,MM,MM,MM,1009.3,23.1,25.7,MM,MM,MM,MM
2019 05 07 05 54,330,2.1,2.6,MM,MM,MM,MM,1009.4,23.2,25.7,MM,MM,MM,MM
2019 05 07 06 00,330,1,2.1,MM,MM,MM,MM,1009.5,23.1,25.7,MM,MM,1.5,MM
2019 05 07 06 06,260,0.5,1,MM,MM,MM,MM,1009.5,23.1,25.7,MM,MM,MM,MM
2019 05 07 06 12,230,0.5,1,MM,MM,MM,MM,1009.6,23,25.7,MM,MM,MM,MM
2019 05 07 06 18,250,0.5,1.5,MM,MM,MM,MM,1009.7,23,25.7,MM,MM,MM,MM
2019 05 07 06 24,270,1,2.1,MM,MM,MM,MM,1009.8,22.7,25.7,MM,MM,MM,MM
2019 05 07 06 30,270,0.5,1.5,MM,MM,MM,MM,1009.9,22.6,25.7,MM,MM,MM,MM
2019 05 07 06 36,280,1,1.5,MM,MM,MM,MM,1010,22.5,25.7,MM,MM,MM,MM
2019 05 07 06 42,280,1.5,2.1,MM,MM,MM,MM,1010.1,22.6,25.7,MM,MM,MM,MM
2019 05 07 06 48,280,1,2.1,MM,MM,MM,MM,1010.1,22.4,25.7,MM,MM,MM,MM
2019 05 07 06 54,320,1.5,2.6,MM,MM,MM,MM,1010.2,22.6,25.7,MM,MM,MM,MM
2019 05 07 07 00,320,2.1,2.6,MM,MM,MM,MM,1010.2,23,25.7,MM,MM,2,MM
2019 05 07 07 06,320,2.1,3.1,MM,MM,MM,MM,1010.2,22.8,25.8,MM,MM,MM,MM
2019 05 07 07 12,310,2.1,2.6,MM,MM,MM,MM,1010.3,22.9,25.8,MM,MM,MM,MM
2019 05 07 07 18,310,2.1,3.1,MM,MM,MM,MM,1010.3,22.9,25.8,MM,MM,MM,MM
2019 05 07 07 24,310,2.1,2.6,MM,MM,MM,MM,1010.3,22.9,25.8,MM,MM,MM,MM
2019 05 07 07 30,310,2.1,2.6,MM,MM,MM,MM,1010.4,22.9,25.8,MM,MM,MM,MM
2019 05 07 07 36,310,2.1,2.6,MM,MM,MM,MM,1010.5,22.9,25.8,MM,MM,MM,MM
2019 05 07 07 42,300,2.1,2.6,MM,MM,MM,MM,1010.5,22.9,25.8,MM,MM,MM,MM
2019 05 07 07 48,270,1,2.1,MM,MM,MM,MM,1010.5,22.7,25.8,MM,MM,MM,MM
2019 05 07 07 54,290,1.5,2.1,MM,MM,MM,MM,1010.5,22.7,25.8,MM,MM,MM,MM
2019 05 07 08 00,280,0.5,1.5,MM,MM,MM,MM,1010.6,22.8,25.8,MM,MM,1.8,MM
2019 05 07 08 06,280,1,2.1,MM,MM,MM,MM,1010.6,22.6,25.8,MM,MM,MM,MM
2019 05 07 08 12,280,0.5,2.1,MM,MM,MM,MM,1010.7,22.6,25.8,MM,MM,MM,MM
2019 05 07 08 18,310,0.5,1,MM,MM,MM,MM,1010.7,22.6,25.8,MM,MM,MM,MM
2019 05 07 08 24,290,1.5,2.6,MM,MM,MM,MM,1010.7,22.6,25.8,MM,MM,MM,MM
2019 05 07 08 30,310,1.5,2.1,MM,MM,MM,MM,1010.8,22.7,25.8,MM,MM,MM,MM
2019 05 07 08 36,290,1,2.1,MM,MM,MM,MM,1010.9,22.7,25.8,MM,MM,MM,MM
2019 05 07 08 42,280,1,2.6,MM,MM,MM,MM,1010.9,22.8,25.8,MM,MM,MM,MM
2019 05 07 08 48,MM,0,1.5,MM,MM,MM,MM,1010.9,22.7,25.8,MM,MM,MM,MM
2019 05 07 08 54,MM,0,1.5,MM,MM,MM,MM,1010.9,22.6,25.8,MM,MM,MM,MM
2019 05 07 09 00,240,1,2.1,MM,MM,MM,MM,1010.8,22.5,25.8,MM,MM,1.3,MM
2019 05 07 09 06,240,1,2.1,MM,MM,MM,MM,1010.8,22.5,25.8,MM,MM,MM,MM
2019 05 07 09 12,260,1,1.5,MM,MM,MM,MM,1010.8,22.2,25.8,MM,MM,MM,MM
2019 05 07 09 18,280,0.5,1.5,MM,MM,MM,MM,1010.9,22.2,25.8,MM,MM,MM,MM
2019 05 07 09 24,MM,0,1,MM,MM,MM,MM,1010.9,22.3,25.8,MM,MM,MM,MM
2019 05 07 09 30,MM,0,0.5,MM,MM,MM,MM,1010.9,22.3,25.8,MM,MM,MM,MM
2019 05 07 09 36,MM,0,0.5,MM,MM,MM,MM,1010.9,22.3,25.8,MM,MM,MM,MM
2019 05 07 09 42,MM,0,0.5,MM,MM,MM,MM,1010.8,22.4,25.8,MM,MM,MM,MM
2019 05 07 09 48,MM,0,1,MM,MM,MM,MM,1010.8,22.1,25.8,MM,MM,MM,MM
2019 05 07 09 54,270,0.5,1,MM,MM,MM,MM,1010.8,22.1,25.7,MM,MM,MM,MM
2019 05 07 10 00,280,0.5,1,MM,MM,MM,MM,1010.8,22.2,25.7,MM,MM,0.6,MM
2019 05 07 10 06,290,0.5,1.5,MM,MM,MM,MM,1010.9,22.2,25.7,MM,MM,MM,MM
2019 05 07 10 12,MM,0,1,MM,MM,MM,MM,1010.9,22.4,25.7,MM,MM,MM,MM
2019 05 07 10 18,280,0.5,1,MM,MM,MM,MM,1010.9,22.4,25.7,MM,MM,MM,MM
2019 05 07 10 24,250,1,1.5,MM,MM,MM,MM,1010.8,22.3,25.7,MM,MM,MM,MM
2019 05 07 10 30,MM,0,1,MM,MM,MM,MM,1010.8,22.4,25.7,MM,MM,MM,MM
2019 05 07 10 36,MM,0,1,MM,MM,MM,MM,1010.8,22.3,25.7,MM,MM,MM,MM
2019 05 07 10 42,MM,0,0.5,MM,MM,MM,MM,1010.8,22.2,25.7,MM,MM,MM,MM
2019 05 07 10 48,190,0.5,1,MM,MM,MM,MM,1010.8,22.1,25.7,MM,MM,MM,MM
2019 05 07 10 54,170,0.5,1,MM,MM,MM,MM,1010.8,21.9,25.7,MM,MM,MM,MM
2019 05 07 11 00,170,0.5,1,MM,MM,MM,MM,1010.8,21.8,25.7,MM,MM,0,MM
2019 05 07 11 06,210,0.5,1,MM,MM,MM,MM,1010.7,21.4,25.7,MM,MM,MM,MM
2019 05 07 11 12,240,1,1.5,MM,MM,MM,MM,1010.7,21.2,25.7,MM,MM,MM,MM
2019 05 07 11 18,250,0.5,1.5,MM,MM,MM,MM,1010.7,21.3,25.6,MM,MM,MM,MM
2019 05 07 11 24,240,1,1,MM,MM,MM,MM,1010.6,21.5,25.6,MM,MM,MM,MM
2019 05 07 11 30,210,0.5,1,MM,MM,MM,MM,1010.6,21.5,25.6,MM,MM,MM,MM
2019 05 07 11 36,190,0.5,1,MM,MM,MM,MM,1010.6,21.5,25.6,MM,MM,MM,MM
2019 05 07 11 42,190,0.5,1,MM,MM,MM,MM,1010.6,21.4,25.6,MM,MM,MM,MM
2019 05 07 11 48,200,1,1,MM,MM,MM,MM,1010.6,21.2,25.6,MM,MM,MM,MM
2019 05 07 11 54,190,1,1,MM,MM,MM,MM,1010.5,21,25.6,MM,MM,MM,MM
2019 05 07 12 00,210,1,1,MM,MM,MM,MM,1010.5,20.8,25.6,MM,MM,-0.3,MM
2019 05 07 12 06,220,1,1,MM,MM,MM,MM,1010.4,20.8,25.6,MM,MM,MM,MM
2019 05 07 12 12,250,1,1.5,MM,MM,MM,MM,1010.4,20.8,25.6,MM,MM,MM,MM
2019 05 07 12 18,240,1,1.5,MM,MM,MM,MM,1010.4,21,25.6,MM,MM,MM,MM
2019 05 07 12 24,200,0.5,1.5,MM,MM,MM,MM,1010.4,21,25.6,MM,MM,MM,MM
2019 05 07 12 30,230,1,1.5,MM,MM,MM,MM,1010.4,21,25.6,MM,MM,MM,MM
2019 05 07 12 36,230,0.5,2.1,MM,MM,MM,MM,1010.3,21.1,25.6,MM,MM,MM,MM
2019 05 07 12 42,240,1,1.5,MM,MM,MM,MM,1010.3,20.8,25.6,MM,MM,MM,MM
2019 05 07 12 48,230,1,1.5,MM,MM,MM,MM,1010.3,20.8,25.6,MM,MM,MM,MM
2019 05 07 12 54,230,1,1.5,MM,MM,MM,MM,1010.3,20.8,25.6,MM,MM,MM,MM
2019 05 07 13 00,200,0.5,1.5,MM,MM,MM,MM,1010.3,20.6,25.6,MM,MM,-0.5,MM
2019 05 07 13 06,160,0.5,1.5,MM,MM,MM,MM,1010.3,20.6,25.6,MM,MM,MM,MM
2019 05 07 13 12,160,1,1.5,MM,MM,MM,MM,1010.3,20.6,25.6,MM,MM,MM,MM
2019 05 07 13 18,170,1.5,2.1,MM,MM,MM,MM,1010.3,20.5,25.5,MM,MM,MM,MM
2019 05 07 13 24,200,1.5,2.1,MM,MM,MM,MM,1010.3,20.1,25.5,MM,MM,MM,MM
2019 05 07 13 30,190,1,1.5,MM,MM,MM,MM,1010.4,20.2,25.5,MM,MM,MM,MM
2019 05 07 13 36,240,1,1,MM,MM,MM,MM,1010.4,20.1,25.5,MM,MM,MM,MM
2019 05 07 13 42,240,1,1.5,MM,MM,MM,MM,1010.3,20.4,25.5,MM,MM,MM,MM
2019 05 07 13 48,230,1,1.5,MM,MM,MM,MM,1010.4,20.6,25.5,MM,MM,MM,MM
2019 05 07 13 54,240,1,1.5,MM,MM,MM,MM,1010.4,20.8,25.5,MM,MM,MM,MM
2019 05 07 14 00,220,1,1.5,MM,MM,MM,MM,1010.4,20.9,25.5,MM,MM,-0.4,MM
2019 05 07 14 06,220,1,1.5,MM,MM,MM,MM,1010.4,20.8,25.5,MM,MM,MM,MM
2019 05 07 14 12,230,1,1.5,MM,MM,MM,MM,1010.4,20.8,25.5,MM,MM,MM,MM
2019 05 07 14 18,230,1,1,MM,MM,MM,MM,1010.3,20.7,25.5,MM,MM,MM,MM
2019 05 07 14 24,260,1,1,MM,MM,MM,MM,1010.3,20.6,25.5,MM,MM,MM,MM
2019 05 07 14 30,240,1,1.5,MM,MM,MM,MM,1010.4,20.6,25.5,MM,MM,MM,MM
2019 05 07 14 36,210,1,2.1,MM,MM,MM,MM,1010.4,20.6,25.5,MM,MM,MM,MM
2019 05 07 14 42,200,1,1,MM,MM,MM,MM,1010.4,20.7,25.5,MM,MM,MM,MM
2019 05 07 14 48,220,1,1.5,MM,MM,MM,MM,1010.4,20.4,25.5,MM,MM,MM,MM
2019 05 07 14 54,210,1,1.5,MM,MM,MM,MM,1010.5,20.2,25.4,MM,MM,MM,MM
2019 05 07 15 00,200,1,1.5,MM,MM,MM,MM,1010.5,20.2,25.4,MM,MM,0,MM
2019 05 07 15 06,220,1,1.5,MM,MM,MM,MM,1010.6,20.4,25.4,MM,MM,MM,MM
2019 05 07 15 12,210,0.5,1,MM,MM,MM,MM,1010.6,20.4,25.4,MM,MM,MM,MM
2019 05 07 15 18,MM,0,1,MM,MM,MM,MM,1010.7,20.4,25.4,MM,MM,MM,MM
2019 05 07 15 24,170,0.5,1,MM,MM,MM,MM,1010.7,20.4,25.4,MM,MM,MM,MM
2019 05 07 15 30,180,1,1.5,MM,MM,MM,MM,1010.7,20.3,25.4,MM,MM,MM,MM
2019 05 07 15 36,190,1,1.5,MM,MM,MM,MM,1010.8,20.2,25.4,MM,MM,MM,MM
2019 05 07 15 42,190,1,2.1,MM,MM,MM,MM,1010.8,20.1,25.4,MM,MM,MM,MM
2019 05 07 15 48,220,1,1,MM,MM,MM,MM,1010.9,20.2,25.4,MM,MM,MM,MM
2019 05 07 15 54,200,0.5,1,MM,MM,MM,MM,1010.9,20.4,25.4,MM,MM,MM,MM
2019 05 07 16 00,230,1,1,MM,MM,MM,MM,1011,20.3,25.4,MM,MM,0.7,MM
2019 05 07 16 06,210,0.5,1.5,MM,MM,MM,MM,1011.1,20.5,25.4,MM,MM,MM,MM
2019 05 07 16 12,200,0.5,1,MM,MM,MM,MM,1011.1,20.8,25.4,MM,MM,MM,MM
2019 05 07 16 18,210,0.5,1,MM,MM,MM,MM,1011.2,21.1,25.4,MM,MM,MM,MM
2019 05 07 16 24,MM,0,0.5,MM,MM,MM,MM,1011.3,21.6,25.4,MM,MM,MM,MM
2019 05 07 16 30,240,0.5,1,MM,MM,MM,MM,1011.4,21.9,25.4,MM,MM,MM,MM
2019 05 07 16 36,MM,0,1,MM,MM,MM,MM,1011.5,21.9,25.4,MM,MM,MM,MM
2019 05 07 16 42,220,0.5,1,MM,MM,MM,MM,1011.5,22,25.4,MM,MM,MM,MM
2019 05 07 16 48,260,0.5,1,MM,MM,MM,MM,1011.6,22,25.4,MM,MM,MM,MM
2019 05 07 16 54,280,0.5,1.5,MM,MM,MM,MM,1011.6,22.1,25.4,MM,MM,MM,MM
2019 05 07 17 00,MM,0,1,MM,MM,MM,MM,1011.7,22.3,25.4,MM,MM,1.3,MM
2019 05 07 17 06,260,0.5,1,MM,MM,MM,MM,1011.7,22.3,25.3,MM,MM,MM,MM
2019 05 07 17 12,MM,0,0.5,MM,MM,MM,MM,1011.8,22.3,25.3,MM,MM,MM,MM
2019 05 07 17 18,MM,0,0.5,MM,MM,MM,MM,1011.9,22.7,25.3,MM,MM,MM,MM
2019 05 07 17 24,MM,0,0.5,MM,MM,MM,MM,1012,22.8,25.3,MM,MM,MM,MM
2019 05 07 17 30,MM,0,1,MM,MM,MM,MM,1012,23.2,25.3,MM,MM,MM,MM
2019 05 07 17 36,MM,0,1,MM,MM,MM,MM,1012.1,23.2,25.3,MM,MM,MM,MM
2019 05 07 17 42,MM,0,0.5,MM,MM,MM,MM,1012.1,23.2,25.3,MM,MM,MM,MM
2019 05 07 17 48,MM,0,0,MM,MM,MM,MM,1012.1,23.4,25.3,MM,MM,MM,MM
2019 05 07 17 54,MM,0,0.5,MM,MM,MM,MM,1012.1,23.4,25.3,MM,MM,MM,MM
2019 05 07 18 00,MM,0,0.5,MM,MM,MM,MM,1012.1,23.6,25.3,MM,MM,1.6,MM
2019 05 07 18 06,MM,0,1,MM,MM,MM,MM,1012.2,23.4,25.3,MM,MM,MM,MM
2019 05 07 18 12,320,0.5,1,MM,MM,MM,MM,1012.2,23.3,25.3,MM,MM,MM,MM
2019 05 07 18 18,320,0.5,1,MM,MM,MM,MM,1012.3,23.3,25.3,MM,MM,MM,MM
2019 05 07 18 24,MM,0,1,MM,MM,MM,MM,1012.3,23.5,25.3,MM,MM,MM,MM
2019 05 07 18 30,360,0.5,0.5,MM,MM,MM,MM,1012.2,23.7,25.3,MM,MM,MM,MM
2019 05 07 18 36,320,1,1,MM,MM,MM,MM,1012.3,23.6,25.3,MM,MM,MM,MM
2019 05 07 18 42,20,1,1.5,MM,MM,MM,MM,1012.3,23.5,25.3,MM,MM,MM,MM
2019 05 07 18 48,10,1,1,MM,MM,MM,MM,1012.3,23.6,25.3,MM,MM,MM,MM
2019 05 07 18 54,330,1,1.5,MM,MM,MM,MM,1012.3,23.6,25.3,MM,MM,MM,MM
2019 05 07 19 00,340,1,1.5,MM,MM,MM,MM,1012.4,23.8,25.3,MM,MM,1.4,MM
2019 05 07 19 06,360,1,1.5,MM,MM,MM,MM,1012.3,23.4,25.3,MM,MM,MM,MM
2019 05 07 19 12,10,1,1.5,MM,MM,MM,MM,1012.3,23.6,25.3,MM,MM,MM,MM
2019 05 07 19 18,360,1,1.5,MM,MM,MM,MM,1012.3,23.9,25.3,MM,MM,MM,MM
2019 05 07 19 24,360,1.5,2.1,MM,MM,MM,MM,1012.4,24.1,25.3,MM,MM,MM,MM
2019 05 07 19 30,10,2.1,2.6,MM,MM,MM,MM,1012.4,23.7,25.3,MM,MM,MM,MM
2019 05 07 19 36,350,1.5,2.6,MM,MM,MM,MM,1012.4,23.7,25.3,MM,MM,MM,MM
2019 05 07 19 42,350,2.1,2.6,MM,MM,MM,MM,1012.5,24.2,25.3,MM,MM,MM,MM
2019 05 07 19 48,20,2.6,2.6,MM,MM,MM,MM,1012.5,23.7,25.3,MM,MM,MM,MM
2019 05 07 19 54,10,2.6,3.1,MM,MM,MM,MM,1012.5,23.8,25.3,MM,MM,MM,MM
2019 05 07 20 00,10,2.6,3.1,MM,MM,MM,MM,1012.5,24,25.3,MM,MM,0.8,MM
2019 05 07 20 06,360,2.1,3.6,MM,MM,MM,MM,1012.5,23.9,25.3,MM,MM,MM,MM
2019 05 07 20 12,20,2.6,3.1,MM,MM,MM,MM,1012.5,23.7,25.4,MM,MM,MM,MM
2019 05 07 20 18,10,2.6,3.6,MM,MM,MM,MM,1012.5,23.7,25.4,MM,MM,MM,MM
2019 05 07 20 24,20,2.6,3.1,MM,MM,MM,MM,1012.5,23.8,25.4,MM,MM,MM,MM
2019 05 07 20 30,10,2.6,3.6,MM,MM,MM,MM,1012.5,23.9,25.4,MM,MM,MM,MM
2019 05 07 20 36,20,3.1,3.6,MM,MM,MM,MM,1012.5,23.8,25.4,MM,MM,MM,MM
2019 05 07 20 42,10,3.1,3.6,MM,MM,MM,MM,1012.4,23.8,25.4,MM,MM,MM,MM
2019 05 07 20 48,10,2.6,3.6,MM,MM,MM,MM,1012.4,23.7,25.5,MM,MM,MM,MM
2019 05 07 20 54,10,2.6,3.1,MM,MM,MM,MM,1012.3,23.9,25.5,MM,MM,MM,MM
2019 05 07 21 00,20,2.6,3.1,MM,MM,MM,MM,1012.4,24.1,25.5,MM,MM,0.3,MM
2019 05 07 21 06,10,2.6,3.6,MM,MM,MM,MM,1012.4,24.1,25.5,MM,MM,MM,MM
2019 05 07 21 12,30,3.1,3.6,MM,MM,MM,MM,1012.3,24,25.5,MM,MM,MM,MM
2019 05 07 21 18,20,2.6,3.1,MM,MM,MM,MM,1012.3,24.3,25.6,MM,MM,MM,MM
2019 05 07 21 24,20,2.6,3.6,MM,MM,MM,MM,1012.3,24.1,25.6,MM,MM,MM,MM
2019 05 07 21 30,20,3.1,3.6,MM,MM,MM,MM,1012.3,24.1,25.6,MM,MM,MM,MM
2019 05 07 21 36,20,3.1,3.6,MM,MM,MM,MM,1012.3,24.4,25.6,MM,MM,MM,MM
2019 05 07 21 42,50,2.6,4.1,MM,MM,MM,MM,1012.3,24.9,25.7,MM,MM,MM,MM
2019 05 07 21 48,20,3.1,4.1,MM,MM,MM,MM,1012.3,24.2,25.7,MM,MM,MM,MM
2019 05 07 21 54,30,1.5,3.6,MM,MM,MM,MM,1012.3,24.9,25.7,MM,MM,MM,MM
2019 05 07 22 00,100,1.5,3.1,MM,MM,MM,MM,1012.2,25.7,25.7,MM,MM,0,MM
2019 05 07 22 06,90,1,4.1,MM,MM,MM,MM,1012.1,25.9,25.7,MM,MM,MM,MM
2019 05 07 22 12,110,1.5,3.6,MM,MM,MM,MM,1012.1,26.6,25.7,MM,MM,MM,MM
2019 05 07 22 18,100,2.1,3.6,MM,MM,MM,MM,1011.9,26.9,25.8,MM,MM,MM,MM
2019 05 07 22 24,100,3.1,4.1,MM,MM,MM,MM,1011.9,26.7,25.8,MM,MM,MM,MM
2019 05 07 22 30,110,2.1,4.1,MM,MM,MM,MM,1011.8,26.8,25.8,MM,MM,MM,MM
2019 05 07 22 36,110,1.5,3.6,MM,MM,MM,MM,1011.9,26.6,25.8,MM,MM,MM,MM
2019 05 07 22 42,100,1,4.1,MM,MM,MM,MM,1011.8,26,25.8,MM,MM,MM,MM
2019 05 07 22 48,100,1.5,3.1,MM,MM,MM,MM,1011.8,26.8,25.8,MM,MM,MM,MM
2019 05 07 22 54,100,1.5,3.1,MM,MM,MM,MM,1011.8,26.4,25.8,MM,MM,MM,MM
